Time,02_2,03_2,04_1,04_2,04_3,05_1,05_2,05_3,06_1,06_2,06_3,09_1,09_2,09_3,12_1,12_2,16_1,16_2,17_1,17_2,19_1,19_2,20_1,20_2
00-1.bmp,15.4385,15.8541,34.8506,34.8553,34.8600,36.0706,36.0743,36.0780,22.1016,22.1052,22.1089,11.1965,11.2004,11.2044,18.7568,18.7495,29.5202,29.5354,17.0589,17.0881,1.5805,1.5997,19.2917,0.0525
01-1.bmp,15.4358,15.8627,34.8423,34.8450,34.8476,36.0852,36.0849,36.0846,22.1072,22.1092,22.1112,11.1766,11.1803,11.1839,18.7657,18.7733,29.5307,29.5466,17.0879,17.1053,1.6021,1.6057,19.2870,0.0204
02-1.bmp,15.4466,15.8800,34.8873,34.8812,34.8751,36.0970,36.0952,36.0935,22.1047,22.1051,22.1056,11.1798,11.1771,11.1744,18.7505,18.7546,29.5170,29.5273,17.0617,17.0862,1.5925,1.5778,19.3057,0.0506
03-1.bmp,15.4383,15.8722,34.8505,34.8468,34.8431,36.0884,36.0899,36.0914,22.1110,22.1145,22.1180,11.1834,11.1825,11.1815,18.7773,18.7718,29.5375,29.5523,17.0730,17.1011,1.5898,1.6107,19.3019,0.0149
04-1.bmp,15.4380,15.8650,34.8605,34.8587,34.8570,36.0910,36.0892,36.0874,22.1058,22.1062,22.1067,11.1772,11.1789,11.1806,18.7812,18.7624,29.5323,29.5428,17.0805,17.1209,1.5977,1.6183,19.2711,0.0011
05-1.bmp,15.4463,15.8680,34.8649,34.8671,34.8692,36.0971,36.0981,36.0991,22.1035,22.1054,22.1073,11.1867,11.1858,11.1848,18.7700,18.7599,29.5294,29.5390,17.0718,17.1055,1.5914,1.6041,19.2968,0.0097
06-1.bmp,15.4561,15.8716,34.8763,34.8719,34.8675,36.0879,36.0859,36.0840,22.0962,22.0974,22.0987,11.1802,11.1808,11.1814,18.7608,18.7512,29.5248,29.5325,17.0754,17.0949,1.5962,1.6033,19.2971,0.0120
07-1.bmp,15.4372,15.8537,34.8593,34.8622,34.8650,36.0804,36.0823,36.0841,22.0923,22.0943,22.0962,11.1815,11.1840,11.1865,18.7690,18.7549,29.5250,29.5323,17.0709,17.1042,1.5968,1.6001,19.2980,0.0084
08-1.bmp,15.4332,15.8720,34.8576,34.8626,34.8675,36.0993,36.1020,36.1046,22.1068,22.1056,22.1043,11.1766,11.1798,11.1831,18.7655,18.7717,29.5441,29.5516,17.0984,17.1171,1.6089,1.6076,19.2767,0.0204
09-1.bmp,15.4298,15.8523,34.8529,34.8519,34.8508,36.0822,36.0823,36.0824,22.0899,22.0938,22.0977,11.1769,11.1809,11.1850,18.7538,18.7417,29.5326,29.5315,17.0882,17.1003,1.6069,1.6152,19.2732,0.0123
10-1.bmp,15.4359,15.8576,34.8519,34.8544,34.8568,36.0810,36.0815,36.0819,22.0994,22.1017,22.1040,11.1789,11.1811,11.1832,18.7634,18.7571,29.5404,29.5438,17.0825,17.1055,1.6121,1.6223,19.2738,0.0230
11-1.bmp,15.4411,15.8644,34.8581,34.8572,34.8564,36.0927,36.0934,36.0941,22.0976,22.1001,22.1026,11.1751,11.1798,11.1845,18.7441,18.7414,29.5191,29.5267,17.0622,17.0902,1.5798,1.6046,19.3169,0.0024
12-1.bmp,15.4412,15.8738,34.8627,34.8591,34.8555,36.0875,36.0851,36.0826,22.0968,22.0971,22.0974,11.1746,11.1725,11.1705,18.7555,18.7562,29.5086,29.5221,17.0518,17.0858,1.5734,1.5867,19.2640,0.0216
13-1.bmp,15.4447,15.8681,34.8412,34.8476,34.8540,36.0823,36.0823,36.0823,22.1032,22.1069,22.1105,11.1753,11.1756,11.1759,18.7539,18.7433,29.5284,29.5337,17.0924,17.1097,1.6100,1.6101,19.2992,0.0140
14-1.bmp,15.4379,15.8533,34.8537,34.8553,34.8569,36.0822,36.0823,36.0824,22.0930,22.0951,22.0973,11.1811,11.1853,11.1895,18.7528,18.7448,29.5207,29.5200,17.0714,17.0975,1.5947,1.6004,19.2824,0.0225
15-1.bmp,15.4182,15.8329,34.8119,34.8207,34.8294,36.0860,36.0864,36.0867,22.0839,22.0848,22.0858,11.1769,11.1754,11.1739,18.7586,18.7542,29.5251,29.5255,17.0874,17.0948,1.6275,1.6094,19.2640,0.0427
16-1.bmp,15.4299,15.8552,34.8497,34.8582,34.8666,36.0902,36.0943,36.0984,22.0945,22.0996,22.1046,11.1877,11.1887,11.1896,18.7822,18.7569,29.5302,29.5393,17.0749,17.1012,1.6005,1.6169,19.2835,0.0299
17-1.bmp,15.4249,15.8495,34.8347,34.8392,34.8437,36.0848,36.0881,36.0914,22.0939,22.0970,22.1001,11.1746,11.1783,11.1820,18.7623,18.7721,29.5394,29.5367,17.1098,17.1189,1.6341,1.6227,19.2949,0.0199
17-1.bmp,15.4251,15.8495,34.8348,34.8393,34.8437,36.0847,36.0881,36.0914,22.0939,22.0970,22.1001,11.1746,11.1783,11.1820,18.7618,18.7726,29.5394,29.5367,17.1099,17.1186,1.6341,1.6227,19.2949,0.0199
09-1.bmp,15.4296,15.8523,34.8529,34.8518,34.8508,36.0821,36.0822,36.0823,22.0899,22.0938,22.0977,11.1769,11.1809,11.1850,18.7546,18.7416,29.5326,29.5315,17.0883,17.1004,1.6069,1.6152,19.2732,0.0123
10-1.bmp,15.4358,15.8577,34.8518,34.8544,34.8569,36.0811,36.0815,36.0819,22.0994,22.1017,22.1040,11.1789,11.1811,11.1832,18.7634,18.7568,29.5404,29.5438,17.0824,17.1061,1.6121,1.6223,19.2738,0.0230
11-1.bmp,15.4409,15.8643,34.8582,34.8572,34.8562,36.0927,36.0934,36.0941,22.0976,22.1001,22.1026,11.1751,11.1798,11.1845,18.7441,18.7412,29.5191,29.5267,17.0622,17.0901,1.5798,1.6046,19.3169,0.0024
12-1.bmp,15.4414,15.8738,34.8626,34.8590,34.8555,36.0875,36.0851,36.0826,22.0968,22.0971,22.0974,11.1746,11.1725,11.1705,18.7555,18.7562,29.5086,29.5221,17.0523,17.0858,1.5734,1.5867,19.2640,0.0216
13-1.bmp,15.4445,15.8682,34.8410,34.8476,34.8542,36.0824,36.0823,36.0823,22.1032,22.1069,22.1105,11.1753,11.1756,11.1759,18.7538,18.7432,29.5284,29.5337,17.0924,17.1093,1.6100,1.6101,19.2992,0.0140
14-1.bmp,15.4379,15.8533,34.8537,34.8553,34.8568,36.0822,36.0823,36.0824,22.0930,22.0951,22.0973,11.1811,11.1853,11.1895,18.7528,18.7448,29.5207,29.5200,17.0714,17.0980,1.5947,1.6004,19.2824,0.0225
15-1.bmp,15.4181,15.8329,34.8115,34.8206,34.8296,36.0860,36.0863,36.0867,22.0839,22.0848,22.0858,11.1769,11.1754,11.1739,18.7588,18.7540,29.5251,29.5255,17.0874,17.0948,1.6275,1.6094,19.2640,0.0427
16-1.bmp,15.4300,15.8551,34.8498,34.8583,34.8669,36.0902,36.0943,36.0984,22.0945,22.0996,22.1046,11.1877,11.1887,11.1896,18.7819,18.7571,29.5302,29.5393,17.0749,17.1012,1.6005,1.6169,19.2835,0.0299
17-1.bmp,15.4250,15.8495,34.8348,34.8393,34.8437,36.0847,36.0881,36.0914,22.0939,22.0970,22.1001,11.1746,11.1783,11.1820,18.7618,18.7723,29.5394,29.5367,17.1098,17.1190,1.6341,1.6227,19.2949,0.0199
